"cst","csts","des","al","kt","nik"
"01A81 ",K0144 ,KAYAT                         ,JL. PASAR INDUK                                             ,CEPU           ,""
"01A81 ",Q0275 ,KC-22                         ,                                                            ,SAMARINDA      ,""
"01A81 ",Q0199 ,KC/AR                         ,                                                            ,SAMARINDA      ,""
"01A81 ",T0028 ,KDR                           ,JL. MONGINSIDI 43                                           ,BAU-BAU        ,""
"01A81 ",M0353 ,KEDAWUNG                      ,                                                            ,BONDOWOSO      ,""
"01A81 ",M0650 ,KENCANA MULIA                 ,PASAR TURI BARU LT.I G 70-72                                ,PASAR TURI     ,""
"01A81 ",U0126 ,KERTAJAYA                     ,                                                            ,MAKASSAR       ,""
"01A81 ",P0100 ,KERTAJAYA INDAH (KJI)         ,JL. NIAGA TIMUR NO. 63                                      ,BANJARMASIN    ,""
"01A81 ",Q0180 ,KFAR                          ,                                                            ,SAMARINDA      ,""
"01A81 ",M0079 ,KH                            ,JL. AGUS SALIM 160                                          ,MADIUN         ,""
"01A81 ",T0049 ,KHOIRUL JAYA                  ,                                                            ,KENDARI        ,""
"01A81 ",M0035 ,KIDANG KENCONO                ,JL. MUNCAR 912 A                                            ,SRONO          ,""
"01A81 ",M1234 ,KITA JAYA                     ,                                                            ,MALANG         ,""
"01A81 ",O0008 ,KKH                           ,                                                            ,SAMPIT         ,""
"01A81 ",U0125 ,KKK                           ,                                                            ,BOUL           ,""
"01A81 ",M0104 ,KO SIOK ING/KUMALA SAKTI      ,JL. SIDOYOSO 9/39                                           ,SURABAYA       ,""
"01A81 ",W0105 ,KOK LAY                       ,BENTENG LOMBOK TENGAH                                       ,PRAYA          ,""
"01A81 ",K0073 ,KOKOK                         ,DALAM PASAR INDUK                                           ,CEPU           ,""
"01A81 ",M1484 ,KOPERASI RIZKI JAYA(IBU IIN)  ,BERIGIN KULON RT3 RW 3 TROSOBO                              ,SIDOARJO       ,""
"01A81 ",M1252 ,KOPI GLATIK                   ,JL. SIDOYOSO 9/50                                           ,SURABAYA       ,""
"01A81 ",M0363 ,KOSNAENI                      ,JL. TRUNOJOYO 2                                             ,BOJONEGORO     ,""
"01A81 ",W0129 ,KOTA MAS/SAHABAT JAYA         ,                                                            ,CAKRA          ,""
"01A81 ",P0070 ,KR                            ,PASAR SUDIMAMPIR 78                                         ,BANJARMASIN    ,""
"01A81 ",V0148 ,KRISNA                        ,                                                            ,SINGARAJA      ,""
"01A81 ",W0033 ,KUN                           ,TERMINAL MANDALIKA BLOK Y 7-8                               ,CAKRA          ,""
"01A81 ",R0079 ,KUNTUM MEKAR                  ,JL. DOTOLOLONG LASUT 33                                     ,MENADO         ,""
"01A81 ",M0415 ,KURNIA                        ,JL. SAMANHUDI 110                                           ,JEMBER         ,""
"01A81 ",M1769 ,KURNIA                        ,                                                            ,SUMENEP        ,""
"01A81 ",Q0179 ,KURNIA                        ,JL. PANDAN SARI RT.1 No.100                                 ,BALIKPAPAN     ,""
"01A81 ",M1048 ,LAH                           ,                                                            ,AMBULU         ,""
"01A81 ",T0057 ,LAIBO                         ,                                                            ,BAU-BAU        ,""
"01A81 ",M0668 ,LAJU PLAZA                    ,                                                            ,GRESIK         ,""
"01A81 ",K0251 ,LALA                          ,                                                            ,JOGJA          ,""
"01A81 ",Z0163 ,LAM                           ,                                                            ,DOBO           ,""
"01A81 ",T0050 ,LAMAU                         ,                                                            ,BAU-BAU        ,""
"01A81 ",M0108 ,LANCAR                        ,                                                            ,PASAR TURI     ,""
"01A81 ",M0229 ,LANCAR                        ,JL. PASAR WONOSARI 13-14 F                                  ,WONOSARI       ,""
"01A81 ",Q0216 ,LANCAR ABADI                  ,PAHLAWAN PS.SE GIRI BLOK AII/1                              ,SAMARINDA      ,""
"01A81 ",M0841 ,LANCAR JAYA                   ,PASAR TURI LT.I BLOK Q 56-58                                ,PASAR TURI     ,""
"01A81 ",M1005 ,LANCAR JAYA                   ,JL. RAYA DEPAN PASAR                                        ,WONOSARI       ,""
"01A81 ",M1786 ,LANGGENG                      ,                                                            ,PROBOLINGGO    ,""
"01A81 ",M0486 ,LARIS                         ,JL. RAYA 19 DEPAN PASAR                                     ,SUKOWONO       ,""
"01A81 ",Z0002 ,LARIS JAYA/FBI                ,JL. DIGUL DOK V BAWAH                                       ,JAYAPURA       ,""
"01A81 ",T0082 ,LASINTA                       ,                                                            ,BAU-BAU        ,""
"01A81 ",T0053 ,LATANUSI                      ,                                                            ,BAU-BAU        ,""
"01A81 ",X0188 ,LDN                           ,                                                            ,ATAPUPU        ,""
"01A81 ",X0253 ,LDN                           ,                                                            ,ATAPUPU        ,""
"01A81 ",V0094 ,LENY ELECTRIC                 ,                                                            ,DENPASAR       ,""
"01A81 ",T0031 ,LG                            ,                                                            ,BAU-BAU        ,""
"01A81 ",Q0244 ,LGM                           ,                                                            ,BAU-BAU        ,""
"01A81 ",M0039 ,LHM                           ,DALAM PASAR GI No.1-2                                       ,ROGOJAMPI      ,""
"01A81 ",M0138 ,LIMA LEBIH                    ,JL. JUANDA 32                                               ,JAJAG          ,""
"01A81 ",M1749 ,LIN A HING/EFENDI             ,                                                            ,AMBULU         ,""
"01A81 ",K0367 ,LINDA ABADI/JAYA/SUGENG       ,                                                            ,REMBANG        ,""
"01A81 ",Q0181 ,LKS                           ,JL. SEBENGKOK A1 RT.06 No.47                                ,TARAKAN        ,""
"01A81 ",U0080 ,LL/AA                         ,                                                            ,MAKASSAR       ,""
"01A81 ",M1750 ,LULUK                         ,                                                            ,SURABAYA       ,""
"01A81 ",V0028 ,LUMRAH                        ,DALAM PASAR BADUNG 18-19                                    ,DENPASAR       ,""
"01A81 ",M0370 ,LWP                           ,                                                            ,JEMBER         ,""
"01A81 ",T0084 ,M. LANUSI                     ,                                                            ,BAU-BAU        ,""
