"cst","csts","des","al","kt","nik"
"01A81 ",W0153 ,REJEKI ABADI                  ,                                                            ,CAKRA          ,""
"01A81 ",U0100 ,REJEKI BAHAGIA                ,JL. TODDOPULI RAYA RUKO H-11                                ,MAKASSR        ,""
"01A81 ",W0035 ,REJEKI BARU                   ,JL. BRAWIJAYA 108 BUTON TIMUR                               ,SWETA-CAKRA    ,""
"01A81 ",W0119 ,REJEKI MAKMUR JAYA            ,BERTAIS                                                     ,CAKRA          ,""
"01A81 ",M0183 ,REJO                          ,JL. KERANTIL 12                                             ,BLITAR         ,""
"01A81 ",S0041 ,RIA                           ,HI.D6.PAWINDU 16                                            ,PALU           ,""
"01A81 ",P0004 ,RIA ABADI (RA)                ,JL. MARTADINATA 50                                          ,BANJARMASIN    ,""
"01A81 ",M0595 ,RIDWAN                        ,JL. PANGLIMA SUDIRMAN Gg.8/80                               ,TULUNGAGUNG    ,""
"01A81 ",W0029 ,RM                            ,                                                            ,BIMA           ,""
"01A81 ",Y0110 ,ROCHIM                        ,                                                            ,AMBON          ,""
"01A81 ",M1790 ,ROMLI                         ,                                                            ,SURABAYA       ,""
"01A81 ",X0263 ,ROSIKIN                       ,                                                            ,BAJAWA         ,""
"01A81 ",M1209 ,RUSDA                         ,KIOS DALAM PASAR                                            ,SAMPANG        ,""
"01A81 ",U0078 ,SA                            ,                                                            ,MAKASSAR       ,""
"01A81 ",M0160 ,SABAR SUBUR                   ,KOMPLEK PASAR BARU JL. RAYA 58                              ,PASIRIAN       ,""
"01A81 ",M0131 ,SAFARI                        ,PASAR ANOM BARU                                             ,SUMENEP        ,""
"01A81 ",M0478 ,SAHABAT                       ,                                                            ,PANARUKAN      ,""
"01A81 ",M0497 ,SAKURA                        ,JL. RAYA                                                    ,NGOPAK         ,""
"01A81 ",T0056 ,SALE BINA                     ,                                                            ,BAU-BAU        ,""
"01A81 ",T0095 ,SALEH BIMA                    ,                                                            ,BAU-BAU        ,""
"01A81 ",M0070 ,SAMARINDA                     ,                                                            ,PANARUKAN      ,""
"01A81 ",M0114 ,SAMI JOYO                     ,                                                            ,JOMBANG        ,""
"01A81 ",W0079 ,SANA SINI                     ,JL. NIAGA II                                                ,AMPENAN        ,""
"01A81 ",R0126 ,SANDY/JAYA KENCANA            ,JL. SISWOMIHARJO 60                                         ,MENADO         ,""
"01A81 ",M0141 ,SANTOSO                       ,                                                            ,SUMENEP        ,""
"01A81 ",M0258 ,SANTOSO                       ,PASAR BESAR LT.DASAR                                        ,MALANG         ,""
"01A81 ",M0758 ,SANTOSO                       ,PUSAT GROSIR LT.DSR BLK I2/1-5                              ,SURABAYA       ,""
"01A81 ",M1026 ,SANTOSO                       ,JL. MADU KORO 7                                             ,LAWANG         ,""
"01A81 ",M1701 ,SANTOSO                       ,                                                            ,SAMPANG        ,""
"01A81 ",Y0179 ,SARAH                         ,                                                            ,TUAL           ,""
"01A81 ",V0065 ,SARI ASIH                     ,                                                            ,TABANAN        ,""
"01A81 ",K0153 ,SARI GLASS                    ,                                                            ,JOGJA          ,""
"01A81 ",O0015 ,SARI JAYA                     ,JL. ISKANDAR 51                                             ,SAMPIT         ,""
"01A81 ",K0112 ,SARI KENCANA                  ,                                                            ,JOGJA          ,""
"01A81 ",M0856 ,SARI LUHUR                    ,                                                            ,LUMAJANG       ,""
"01A81 ",M0056 ,SARI RASA                     ,                                                            ,MADIUN         ,""
"01A81 ",M0362 ,SATUHAN                       ,PS.TANJUNG STAND 203-204                                    ,JEMBER         ,""
"01A81 ",M1842 ,SAUDARA KITA                  ,JL. TAMBANG BOYO 98                                         ,SURABAYA       ,""
"01A81 ",M1857 ,SAUDARA KITA                  ,JL. RAYA 109                                                ,BENCULUK       ,""
"01A81 ",R0029 ,SBD/HKM                       ,JL. PANJAITAN 25                                            ,MENADO         ,""
"01A81 ",P0031 ,SBH                           ,                                                            ,BANJARMASIN    ,""
"01A81 ",X0258 ,SBM                           ,                                                            ,MAUMERE        ,""
